The number of the original data: 10000
The max. value: 4.846432419651752
The min. value: -3.700254387645554
The average E(x): -0.0023163984522013795
The variance V(x): 1.0032880564699618
The standard deviation Å„V(x): 1.0016426790377704

[The probability density distribution] 
The number of data for the distribution: 10000
The interval of y: -5.05 < y ÅÖ 5.05
The interval of x: -5.0 ÅÖ x ÅÖ 5.0
The delta of x: 0.1
x , Dist(x), f(x): 
5.0,0.0,1.5285964965517122E-6
4.9,0.0,2.5041731963006466E-6
4.8,0.001,4.061693554585229E-6
4.7,0.0,6.5226073136110426E-6
4.6,0.0,1.037066488048618E-5
4.5,0.0,1.6325378398598836E-5
4.4,0.0,2.5444340595665104E-5
4.3,0.0,3.926362856154956E-5
4.2,0.0,5.998752625778939E-5
4.1,0.0,9.074083298999964E-5
4.0,0.0,1.3589887408135923E-4
3.9,0.0,2.0151168929268958E-4
3.8,0.002,2.958393346903604E-4
3.7,0.0,4.300142807701703E-4
3.5999999999999996,0.001,6.188439201541086E-4
3.5,0.002,8.817605541558047E-4
3.4,0.002,0.0012439172570908985
3.3,0.003,0.0017374151629965195
3.2,0.0,0.002402630634337874
3.0999999999999996,0.003,0.0032895894574784244
3.0,0.002,0.0044593101632305985
2.9,0.005,0.00598501092898624
2.8,0.006,0.007953046165911073
2.6999999999999997,0.011,0.010463412511245147
2.5999999999999996,0.013,0.013629642966394618
2.5,0.014,0.017577896372392588
2.4,0.025,0.02244505161329339
2.3,0.039,0.02837563605357002
2.1999999999999997,0.028,0.03551745920233607
2.0999999999999996,0.034,0.044015887551935036
2.0,0.065,0.054006785044663615
1.9,0.06,0.06560825317482995
1.7999999999999998,0.088,0.07891142985296234
1.6999999999999997,0.081,0.09397073828904262
1.5999999999999996,0.101,0.11079410494275578
1.5,0.127,0.1293337756101703
1.4,0.132,0.14947843659831087
1.2999999999999998,0.186,0.17104737987970858
1.1999999999999997,0.214,0.19378742561952647
1.0999999999999996,0.216,0.21737322510169044
1.0,0.241,0.24141141005705175
0.8999999999999995,0.259,0.26544883567048994
0.7999999999999998,0.314,0.28898489624501866
0.7000000000000002,0.31,0.3114875935271908
0.5999999999999996,0.362,0.33241273240977703
0.5,0.34,0.3512253348075209
0.39999999999999947,0.338,0.36742212817006203
0.2999999999999998,0.396,0.38055380598573035
0.1999999999999993,0.393,0.3902456937032183
0.09999999999999964,0.39,0.39621549641594644
0.0,0.413,0.3982869559742909
-0.10000000000000053,0.402,0.3963984956832085
-0.20000000000000018,0.385,0.39060626096383055
-0.3000000000000007,0.361,0.38108134646468833
-0.40000000000000036,0.372,0.3681014007153708
-0.5,0.332,0.3520371831465555
-0.6000000000000005,0.345,0.33333498159506725
-0.7000000000000002,0.343,0.31249605310152223
-0.8000000000000007,0.27,0.290054407009649
-0.9000000000000004,0.249,0.2665542973642735
-1.0,0.23,0.2425287324431405
-1.1000000000000005,0.22,0.2184801541711228
-1.2000000000000002,0.168,0.19486420878472432
-1.3000000000000007,0.187,0.17207724787646292
-1.4000000000000004,0.172,0.15044789402340733
-1.5,0.14,0.13023270536485207
-1.6000000000000005,0.109,0.11161570330832679
-1.7000000000000002,0.093,0.09471130619739505
-1.8000000000000007,0.082,0.07957005172841791
-1.9000000000000004,0.063,0.06618639744007272
-2.0,0.059,0.05450786022078392
-2.1000000000000005,0.051,0.04444478528794413
-2.2,0.029,0.03588011114037438
-2.3000000000000007,0.025,0.028678605837154373
-2.4000000000000004,0.016,0.022695177232705532
-2.5,0.021,0.01778199199716615
-2.6000000000000005,0.016,0.013794263907721295
-2.7,0.008,0.010594682316059673
-2.8000000000000007,0.007,0.00805654125559177
-2.9000000000000004,0.009,0.0060656957140151485
-3.0,0.006,0.004521514137560701
-3.0999999999999996,0.003,0.0033370172704907585
-3.200000000000001,0.006,0.0024383963735679446
-3.3000000000000007,0.0,0.0017640928569230571
-3.4000000000000004,0.001,0.001263600727739421
-3.5,0.0,8.961270388470404E-4
-3.5999999999999996,0.001,6.292171971974739E-4
-3.700000000000001,0.002,4.374242687293926E-4
-3.8000000000000007,0.0,3.010762189156863E-4
-3.9000000000000004,0.0,2.0517352518478285E-4
-4.0,0.0,1.3843231307858025E-4
-4.1,0.0,9.247512332002503E-5
-4.200000000000001,0.0,6.116227778432169E-5
-4.300000000000001,0.0,4.0051028290484565E-5
-4.4,0.0,2.5966593489998305E-5
-4.5,0.0,1.666815673163419E-5
-4.600000000000001,0.0,1.059330459985141E-5
-4.700000000000001,0.0,6.665713343556598E-6
-4.800000000000001,0.0,4.152724252116319E-6
-4.9,0.0,2.5614792584729153E-6
-5.0,0.0,1.5642994086180545E-6
