The number of the original data: 10000
The max. value: 3.7744455892713473
The min. value: -1.733602081668217
The average E(x): 0.992958286961308
The variance V(x): 0.4833696568213333
The standard deviation Å„V(x): 0.6952479103322305

[The probability density distribution] 
The number of data for the distribution: 10000
The interval of y: -5.05 < y ÅÖ 5.05
The interval of x: -5.0 ÅÖ x ÅÖ 5.0
The delta of x: 0.1
x , Dist(x), f(x): 
5.0,0.0,3.51284239335743E-8
4.9,0.0,7.965042440127428E-8
4.8,0.0,1.7690202132653475E-7
4.7,0.0,3.848511321884166E-7
4.6,0.0,8.201022698766992E-7
4.5,0.0,1.7118217159442285E-6
4.4,0.0,3.4999699948093503E-6
4.3,0.0,7.009473254844008E-6
4.2,0.0,1.3750602159272735E-5
4.1,0.0,2.6422464502162993E-5
4.0,0.0,4.9732489703242344E-5
3.9,0.0,9.16900800326298E-5
3.8,0.001,1.6558453560112875E-4
3.7,0.0,2.929088333830841E-4
3.5999999999999996,0.0,5.075285012894271E-4
3.5,0.001,8.613976348176815E-4
3.4,0.001,0.001432063204566249
3.3,0.001,0.002332039860897632
3.2,0.002,0.0037198465500665073
3.0999999999999996,0.004,0.005812050142812787
3.0,0.009,0.008895061440446307
2.9,0.009,0.013334717642418252
2.8,0.018,0.019580959454447208
2.6999999999999997,0.023,0.028164327408629487
2.5999999999999996,0.029,0.03968076832463919
2.5,0.053,0.05476158795318328
2.4,0.094,0.07402650843555662
2.3,0.086,0.09801979062998957
2.1999999999999997,0.141,0.12713219560888323
2.0999999999999996,0.139,0.16151490135864321
2.0,0.214,0.20099484439398893
1.9,0.242,0.24500362554981486
1.7999999999999998,0.295,0.29253334460588204
1.6999999999999997,0.354,0.34213185669037166
1.5999999999999996,0.409,0.39194662038379025
1.5,0.444,0.43982063980502795
1.4,0.541,0.4834366369602112
1.2999999999999998,0.516,0.5204976658898478
1.1999999999999997,0.56,0.5489253465041953
1.0999999999999996,0.564,0.5670522202483813
1.0,0.555,0.5737835562852579
0.8999999999999995,0.558,0.5687067890144929
0.7999999999999998,0.55,0.552133374772086
0.7000000000000002,0.522,0.5250671628626792
0.5999999999999996,0.421,0.4891037471675184
0.5,0.436,0.44627483028716486
0.39999999999999947,0.395,0.3988586996702608
0.2999999999999998,0.36,0.34918133156072806
0.1999999999999993,0.324,0.2994320175947524
0.09999999999999964,0.239,0.2515131686388673
0.0,0.189,0.2069371639203801
-0.10000000000000053,0.169,0.16677522262949482
-0.20000000000000018,0.158,0.1316557518356158
-0.3000000000000007,0.103,0.10180366615397189
-0.40000000000000036,0.068,0.07710850284110625
-0.5,0.052,0.05720795135085095
-0.6000000000000005,0.047,0.041574381095891635
-0.7000000000000002,0.034,0.029594462859225203
-0.8000000000000007,0.017,0.020635281760165974
-0.9000000000000004,0.016,0.014093719272743522
-1.0,0.016,0.00942879302157264
-1.1000000000000005,0.01,0.0061787675934679405
-1.2000000000000002,0.003,0.00396609296651254
-1.3000000000000007,0.006,0.0024936712143831165
-1.4000000000000004,0.001,0.0015357862190552617
-1.5,0.0,9.264833364757887E-4
-1.6000000000000005,0.0,5.474692501911987E-4
-1.7000000000000002,0.001,3.1688167259736927E-4
-1.8000000000000007,0.0,1.7965933363528269E-4
-1.9000000000000004,0.0,9.977407713936122E-5
-2.0,0.0,5.427513677334222E-5
-2.1000000000000005,0.0,2.8920074392474468E-5
-2.2,0.0,1.5094306248785959E-5
-2.3000000000000007,0.0,7.716887708086608E-6
-2.4000000000000004,0.0,3.864439177812895E-6
-2.5,0.0,1.8955971373252712E-6
-2.6000000000000005,0.0,9.107955166083582E-7
-2.7,0.0,4.2865806209653294E-7
-2.8000000000000007,0.0,1.9761339549770053E-7
-2.9000000000000004,0.0,8.923537168301984E-8
-3.0,0.0,3.947053067532849E-8
-3.0999999999999996,0.0,1.7101104709114254E-8
-3.200000000000001,0.0,7.25756006794858E-9
-3.3000000000000007,0.0,3.0169796721826517E-9
-3.4000000000000004,0.0,1.228483707542505E-9
-3.5,0.0,4.899837649506534E-10
-3.5999999999999996,0.0,1.9142967051797947E-10
-3.700000000000001,0.0,7.325749859450535E-11
-3.8000000000000007,0.0,2.7460610688440285E-11
-3.9000000000000004,0.0,1.0082856098534226E-11
-4.0,0.0,3.626370883311345E-12
-4.1,0.0,1.2775448077103684E-12
-4.200000000000001,0.0,4.4085455820320515E-13
-4.300000000000001,0.0,1.4901493647284621E-13
-4.4,0.0,4.933777278505317E-14
-4.5,0.0,1.600090516963956E-14
-4.600000000000001,0.0,5.083055296562544E-15
-4.700000000000001,0.0,1.5816864324155595E-15
-4.800000000000001,0.0,4.820934339497937E-16
-4.9,0.0,1.4393198531073553E-16
-5.0,0.0,4.209191525196467E-17
